Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
BUF,11/17/13,NYJ,73%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_NYJ,62,10,Mostly Cloudy,17
CHI,11/17/13,BAL,81%,0," Chicago, Illinois",Soldier Field,Grass,BAL_CHI,68,10,Overcast and Windy,24
CIN,11/17/13,CLE,87%,0," Cincinnati, Ohio",Paul Brown Stadium,,CIN_CLE,64,10,Overcast,13
TB,11/17/13,ATL,74%,0," Tampa, Florida",Raymond James Stadium,Grass,ATL_TB,79,10,Overcast,3
JAX,11/17/13,ARI,72%,0," Jacksonville, Florida",EverBank Field,,ARI_JAX,79,10,Overcast,4
MIA,11/17/13,LAC,64%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,LAC_MIA,80,10,A Few Clouds,8
SEA,11/17/13,MIN,60%,0," Seattle, Washington",CenturyLink Field,Fieldturf,MIN_SEA,47,10,Overcast,5
NO,11/17/13,SF,79%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,NO_SF,81,10,Mostly Cloudy,7
NYG,11/17/13,GB,87%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,GB_NYG,61,2,Fog/Mist,0
DEN,11/17/13,KC,40%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_KC,40,,Breezy,
CAR,11/18/13,NE,36%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_NE,56,10,Fair and Breezy,20
ATL,11/21/13,NO,80%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_NO,53,10,Overcast,4
CLE,11/24/13,PIT,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CLE_PIT,33,10,Snow and Breezy,22
DET,11/24/13,TB,44%,0," Detroit, Michigan",Ford Field,Fieldturf,DET_TB,23,10,Mostly Cloudy,11
GB,11/24/13,MIN,50%,0," Green Bay, Wisconsin",Lambeau Field,Desso,GB_MIN,20,10,Fair,10
KC,11/24/13,LAC,35%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,KC_LAC,28,10,Fair,4
LA,11/24/13,CHI,37%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,CHI_LA,28,10,Mostly Cloudy,4
MIA,11/24/13,CAR,62%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,CAR_MIA,80,9,Light Rain,17
BAL,11/24/13,NYJ,28%,0," Baltimore, Maryland",M&T Bank Stadium,,BAL_NYJ,34,0,Breezy,0
HOU,11/24/13,JAX,48%,0," Houston, Texas",NRG Stadium,Grass,HOU_JAX,50,10,Overcast,9
ARI,11/24/13,IND,59%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_IND,57,20,Mostly Cloudy,0
OAK,11/24/13,TEN,55%,0," Oakland, California",Oakland Coliseum,Bluegrass,OAK_TEN,59,10,A Few Clouds,5
NYG,11/24/13,DAL,40%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,DAL_NYG,26,10,Fair,7
NE,11/24/13,DEN,32%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,DEN_NE,23,10,Fair,16
WAS,11/25/13,SF,39%,0," Landover, Maryland",FedExField,Grass,SF_WAS,32,10,A Few Clouds,8
DET,11/28/13,GB,75%,0," Detroit, Michigan",Ford Field,Fieldturf,DET_GB,28,10,Overcast,6
DAL,11/28/13,OAK,38%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_OAK,52,10,Clear,0
BAL,11/28/13,PIT,42%,0," Baltimore, Maryland",M&T Bank Stadium,,BAL_PIT,37,0,Mostly Clear,0
CAR,12/1/13,TB,42%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_TB,57,10,Partly Cloudy,5
CLE,12/1/13,JAX,55%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CLE_JAX,44,10,Overcast,8
IND,12/1/13,TEN,52%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_TEN,51,10,Fair,9
KC,12/1/13,DEN,51%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,DEN_KC,53,6,Fair with Haze,0
MIN,12/1/13,CHI,67%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,CHI_MIN,34,6,Overcast with Haze,0
NYJ,12/1/13,MIA,48%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,MIA_NYJ,49,10,Overcast,5
PHI,12/1/13,ARI,48%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,ARI_PHI,47,10,Mostly Cloudy,5
BUF,12/1/13,ATL,80%,0," Toronto, Ontario",Rogers Centre,FieldTurf,ATL_BUF,30,,Chance Snow,
SF,12/1/13,LA,43%,0," San Francisco, California",Candlestick Park,Kentucky,LA_SF,66,0,Areas Fog,0
HOU,12/1/13,NE,73%,0," Houston, Texas",NRG Stadium,Grass,HOU_NE,67,10,Mostly Cloudy,6
LAC,12/1/13,CIN,40%,0," San Diego, California",Qualcomm Stadium,Grass,CIN_LAC,76,0,Mostly Clear,3
WAS,12/1/13,NYG,81%,0," Landover, Maryland",FedExField,Grass,NYG_WAS,37,10,Overcast,3
SEA,12/2/13,NO,70%,0," Seattle, Washington",CenturyLink Field,Fieldturf,NO_SEA,42,10,Partly Cloudy,3
JAX,12/5/13,HOU,79%,0," Jacksonville, Florida",EverBank Field,,HOU_JAX,70,10,Fair,4
CIN,12/8/13,IND,81%,0," Cincinnati, Ohio",Paul Brown Stadium,,CIN_IND,28,10,Overcast,7
TB,12/8/13,BUF,55%,0," Tampa, Florida",Raymond James Stadium,Grass,BUF_TB,83,10,Partly Cloudy,11
WAS,12/8/13,KC,89%,0," Landover, Maryland",FedExField,Grass,KC_WAS,28,10,Light Freezing Rain,5
BAL,12/8/13,MIN,82%,0," Baltimore, Maryland",M&T Bank Stadium,,BAL_MIN,30,0,Wintry Mix,0
NE,12/8/13,CLE,47%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,CLE_NE,31,10,Fair,3
NYJ,12/8/13,OAK,48%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYJ_OAK,34,10,Overcast,5
PHI,12/8/13,DET,89%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,DET_PHI,27,0,Heavy Snow Freezing Fog,7
PIT,12/8/13,MIA,84%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,MIA_PIT,26,0,Light Snow Fog/Mist,4
GB,12/8/13,ATL,80%,0," Green Bay, Wisconsin",Lambeau Field,Desso,ATL_GB,10,3,Light Snow,9
DEN,12/8/13,TEN,68%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_TEN,19,7,A Few Clouds with Haze,7
LAC,12/8/13,NYG,52%,0," San Diego, California",Qualcomm Stadium,Grass,LAC_NYG,53,0,Partly Cloudy,7
SF,12/8/13,SEA,35%,0," San Francisco, California",Candlestick Park,Kentucky,SEA_SF,45,0,Clear,0
ARI,12/8/13,LA,28%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_LA,55,20,Mostly Cloudy,10
NO,12/8/13,CAR,100%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,CAR_NO,52,0,Fog,4
CHI,12/9/13,DAL,60%,0," Chicago, Illinois",Soldier Field,Grass,CHI_DAL,7,10,Overcast,9
DEN,12/12/13,LAC,42%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_LAC,39,50,A Few Clouds,6
ATL,12/15/13,WAS,70%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_WAS,39,10,Overcast,12
CLE,12/15/13,CHI,60%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CHI_CLE,22,8,Light Snow,11
